slug,url,tier,profile,vendor,num_pairs,accuracy_raw,accuracy_rendered,accuracy_delta,raw_fetch_status,rendered_fetch_status,parseability_score_raw,parseability_score_rendered,universal_score_raw,universal_score_rendered,content_type
cloud-google-com-bigquery-docs-samples,https://cloud.google.com/bigquery/docs/samples,tier2,sample,gcp,5,,0.6,,short,ok,,71.56894821180958,,71.56894821180958,article
developer-mozilla-org-en-US-docs-Learn-Forms-Your-first-form,https://developer.mozilla.org/en-US/docs/Learn/Forms/Your_first_form,tier1,tutorial,mdn,5,0.6,0.6,0.0,ok,ok,58.12841081250309,57.811329353233646,58.12841081250309,57.811329353233646,article
developer-mozilla-org-en-US-docs-Web-HTTP-CORS,https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS,tier1,article,mdn,5,0.8,0.8,0.0,ok,ok,59.35346405639624,55.33260096683802,59.35346405639624,55.33260096683802,article
docs-anthropic-com-en-api-getting-started,https://docs.anthropic.com/en/api/getting-started,tier1,tutorial,anthropic,5,0.8,0.6,-0.20000000000000007,ok,ok,46.70299462011418,46.016652027521594,48.70144378568292,49.07875860049773,reference
docs-anthropic-com-en-docs-about-claude-models-overview,https://docs.anthropic.com/en/docs/about-claude/models/overview,tier1,reference,anthropic,5,0.6,0.6,0.0,ok,ok,40.95241509213042,40.41906856584276,47.32301200244267,47.506318949867335,landing
docs-anthropic-com-en-docs-build-with-claude-prompt-caching,https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching,tier1,article,anthropic,5,1.0,1.0,0.0,ok,ok,48.48108288770054,50.23952883364648,48.48108288770054,50.23952883364648,article
docs-anthropic-com-en-docs-welcome,https://docs.anthropic.com/en/docs/welcome,tier1,landing,anthropic,5,0.6,0.6,0.0,ok,ok,45.38486668036987,47.06754875006148,45.38486668036987,47.06754875006148,article
docs-anthropic-com-en-release-notes-api,https://docs.anthropic.com/en/release-notes/api,tier1,article,anthropic,5,0.8,0.8,0.0,ok,ok,40.93840668260311,40.50885624400662,48.54499518338804,48.93589430619506,landing
docs-aws-amazon-com-AmazonS3-latest-userguide-Welcome-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html,tier1,article,aws,5,1.0,1.0,0.0,ok,ok,58.81219512195122,58.81219512195122,58.81219512195122,58.81219512195122,article
docs-aws-amazon-com-AWSEC2-latest-APIReference-API-RunInstances-html,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.html,tier1,reference,aws,5,0.8,1.0,0.19999999999999996,ok,ok,65.96904761904761,65.96904761904761,61.7952380952381,61.7952380952381,sample
docs-docker-com-engine-reference-commandline-run,https://docs.docker.com/engine/reference/commandline/run/,tier1,reference,docker,5,0.8,0.8,0.0,ok,ok,65.1386019302288,66.377435019662,65.1386019302288,66.377435019662,article
docs-docker-com-get-started,https://docs.docker.com/get-started/,tier2,landing,docker,5,,0.8,,short,ok,,66.96520492829127,,66.96520492829127,article
docs-docker-com-get-started-02-our-app,https://docs.docker.com/get-started/02_our_app/,tier1,tutorial,docker,5,0.6,0.6,0.0,ok,ok,66.5891495362666,69.44842424598875,66.5891495362666,69.44842424598875,article
docs-github-com-en-get-started-learning-about-github-githubs-plans,https://docs.github.com/en/get-started/learning-about-github/githubs-plans,tier1,landing,github,5,0.6,0.6,0.0,ok,ok,53.78880713827181,53.7875089407344,53.78880713827181,53.7875089407344,article
docs-github-com-en-get-started-start-your-journey-hello-world,https://docs.github.com/en/get-started/start-your-journey/hello-world,tier1,tutorial,github,5,0.6,0.6,0.0,ok,ok,58.62210831869356,58.6208070910237,58.62210831869356,58.6208070910237,article
docs-github-com-en-rest-repos-repos,https://docs.github.com/en/rest/repos/repos,tier1,reference,github,5,0.0,0.0,0.0,ok,ok,48.77281793075493,48.68563250923971,53.0727997991494,53.00305146193722,sample
docs-perplexity-ai-guides-prompt-guide,https://docs.perplexity.ai/guides/prompt-guide,tier1,article,perplexity,5,0.8,0.8,0.0,ok,ok,41.70340909090909,41.70340909090909,44.782575757575756,44.782575757575756,landing
docs-perplexity-ai-guides-search-domain-filter-guide,https://docs.perplexity.ai/guides/search-domain-filter-guide,tier1,article,perplexity,5,0.8,0.8,0.0,ok,ok,46.80437062937063,46.80437062937063,49.98449883449884,49.98449883449884,landing
docs-python-org-3-faq-general-html,https://docs.python.org/3/faq/general.html,tier1,faq,python,5,1.0,1.0,0.0,ok,ok,44.74155844155844,44.74155844155844,50.712987012987014,50.712987012987014,faq
docs-python-org-3-faq-programming-html,https://docs.python.org/3/faq/programming.html,tier1,faq,python,5,1.0,0.8,-0.19999999999999996,ok,ok,44.85179744210163,44.874611130314555,50.85997234704459,50.890390597995165,faq
docs-python-org-3-library-functions-html,https://docs.python.org/3/library/functions.html,tier1,reference,python,5,0.8,0.8,0.0,ok,ok,38.875072219403314,38.81425355960136,38.875072219403314,38.81425355960136,article
docs-python-org-3-library-os-html,https://docs.python.org/3/library/os.html,tier1,reference,python,5,0.8,0.8,0.0,ok,ok,57.234118716629126,57.234118716629126,57.234118716629126,57.234118716629126,article
docs-python-org-3-tutorial-introduction-html,https://docs.python.org/3/tutorial/introduction.html,tier1,tutorial,python,5,0.8,0.6,-0.20000000000000007,ok,ok,54.81455081847017,54.75385897038011,51.489822472957954,51.44126899448591,tutorial
docs-snowflake-com-en-sql-reference-functions-count,https://docs.snowflake.com/en/sql-reference/functions/count,tier1,reference,snowflake,5,1.0,1.0,0.0,ok,ok,41.13116949279501,41.19724556272836,41.13116949279501,41.19724556272836,article
docs-snowflake-com-en-user-guide-data-load-overview,https://docs.snowflake.com/en/user-guide/data-load-overview,tier1,article,snowflake,5,0.4,0.4,0.0,ok,ok,46.105468350824815,46.105468350824815,46.105468350824815,46.105468350824815,article
docs-snowflake-com-en-user-guide-sample-data-using,https://docs.snowflake.com/en/user-guide/sample-data-using,tier1,sample,snowflake,5,0.8,0.8,0.0,ok,ok,44.87094861660079,44.88620414673046,44.87094861660079,44.88620414673046,article
docs-stripe-com-api-charges,https://docs.stripe.com/api/charges,tier1,reference,stripe,5,0.0,0.0,0.0,ok,ok,49.41721390857505,48.899762456779605,48.98897327169555,47.95407036810466,reference
docs-stripe-com-payments-accept-a-payment-platform-web,https://docs.stripe.com/payments/accept-a-payment?platform=web,tier1,tutorial,stripe,5,0.6,0.6,0.0,ok,ok,39.88131299679293,39.852398650787194,39.88131299679293,39.852398650787194,article
docs-stripe-com-payments-quickstart,https://docs.stripe.com/payments/quickstart,tier2,tutorial,stripe,5,,0.8,,short,ok,,40.023114938689346,,36.99121922367875,tutorial
en-wikipedia-org-wiki-Cloud-computing,https://en.wikipedia.org/wiki/Cloud_computing,tier2,article,wikipedia,5,,0.0,,failed,ok,,62.196610301627025,,62.196610301627025,article
en-wikipedia-org-wiki-Large-language-model,https://en.wikipedia.org/wiki/Large_language_model,tier2,article,wikipedia,5,,0.6,,failed,ok,,60.48898388476998,,60.48898388476998,article
help-github-com-en-github-site-policy-github-terms-of-service,https://help.github.com/en/github/site-policy/github-terms-of-service,tier1,article,github,5,0.6,0.6,0.0,ok,ok,56.775612158739094,56.775612158739094,56.775612158739094,56.775612158739094,article
kubernetes-io-docs-reference-kubectl,https://kubernetes.io/docs/reference/kubectl/,tier1,reference,k8s,5,0.8,0.8,0.0,ok,ok,68.15570198619196,68.14971467261984,71.09019185117178,71.07821722402755,reference
kubernetes-io-docs-tutorials-hello-minikube,https://kubernetes.io/docs/tutorials/hello-minikube/,tier1,tutorial,k8s,5,0.8,0.8,0.0,ok,ok,71.4517944970026,71.43959783462523,69.86446590063238,69.8547085707305,tutorial
learn-microsoft-com-en-us-azure-ai-services-openai-concepts-models,https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models,tier1,article,learn,5,1.0,1.0,0.0,ok,ok,59.03546938269313,59.52005211793944,59.03546938269313,59.52005211793944,article
learn-microsoft-com-en-us-azure-aks-faq,https://learn.microsoft.com/en-us/azure/aks/faq,tier1,faq,learn,5,1.0,1.0,0.0,ok,ok,80.54101107226107,81.41547662453411,80.25619658119659,80.96760519634852,faq
learn-microsoft-com-en-us-azure-aks-tutorial-kubernetes-prepare-app,https://learn.microsoft.com/en-us/azure/aks/tutorial-kubernetes-prepare-app,tier1,tutorial,learn,5,0.8,0.6,-0.20000000000000007,ok,ok,64.1292325321737,76.36811400022063,60.3297496621026,77.46630938199469,tutorial
learn-microsoft-com-en-us-dotnet-api-system-string,https://learn.microsoft.com/en-us/dotnet/api/system.string,tier1,reference,learn,5,0.8,0.6,-0.20000000000000007,ok,ok,52.855286069452006,73.02863310117199,50.956026684358555,70.48453892961672,reference
nodejs-org-api-fs-html,https://nodejs.org/api/fs.html,tier1,reference,nodejs,5,0.8,0.8,0.0,ok,ok,50.533344212218765,50.533344212218765,53.99850660625571,53.99850660625571,reference
nodejs-org-en-about,https://nodejs.org/en/about,tier1,landing,nodejs,5,0.6,0.6,0.0,ok,ok,54.74461876833833,54.74461876833833,54.74461876833833,54.74461876833833,article
